"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 11:53:54 GMT 2022","Tue Oct 25 11:54:28 GMT 2022","33581","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Tue Oct 25 11:51:34 GMT 2022","Tue Oct 25 11:52:24 GMT 2022","50648","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 25 11:52:25 GMT 2022","Tue Oct 25 11:53:18 GMT 2022","52908","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 11:53:18 GMT 2022","Tue Oct 25 11:53:54 GMT 2022","36526","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
