"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 20 08:44:40 GMT 2022","Thu Oct 20 08:44:54 GMT 2022","13904","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Thu Oct 20 08:44:03 GMT 2022","Thu Oct 20 08:44:30 GMT 2022","26646","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Thu Oct 20 08:43:28 GMT 2022","Thu Oct 20 08:44:03 GMT 2022","35237","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"broken","Thu Oct 20 08:44:30 GMT 2022","Thu Oct 20 08:44:40 GMT 2022","10179","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
