"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 19 18:04:19 GMT 2022","Wed Oct 19 18:04:42 GMT 2022","22359","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"failed","Wed Oct 19 18:04:42 GMT 2022","Wed Oct 19 18:04:50 GMT 2022","8870","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Wed Oct 19 18:03:45 GMT 2022","Wed Oct 19 18:04:19 GMT 2022","34081","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"failed","Wed Oct 19 18:04:50 GMT 2022","Wed Oct 19 18:05:03 GMT 2022","12043","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
