"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 09:08:42 GMT 2022","Tue Oct 25 09:09:29 GMT 2022","46609","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"broken","Tue Oct 25 09:09:59 GMT 2022","Tue Oct 25 09:11:39 GMT 2022","99570","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"broken","Tue Oct 25 09:09:29 GMT 2022","Tue Oct 25 09:09:59 GMT 2022","30420","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 09:11:39 GMT 2022","Tue Oct 25 09:12:16 GMT 2022","37405","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
