"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 11:21:42 GMT 2022","Tue Oct 25 11:22:32 GMT 2022","49608","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 25 11:24:00 GMT 2022","Tue Oct 25 11:24:31 GMT 2022","30600","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Tue Oct 25 11:23:21 GMT 2022","Tue Oct 25 11:24:00 GMT 2022","38669","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 25 11:22:32 GMT 2022","Tue Oct 25 11:23:21 GMT 2022","48795","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
