"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 25 11:51:43 GMT 2022","Tue Oct 25 11:51:51 GMT 2022","8076","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 25 11:52:41 GMT 2022","Tue Oct 25 11:53:11 GMT 2022","30238","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 25 11:51:52 GMT 2022","Tue Oct 25 11:52:41 GMT 2022","49333","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 11:53:11 GMT 2022","Tue Oct 25 11:53:28 GMT 2022","16883","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
