"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 20 04:05:01 GMT 2022","Thu Oct 20 04:05:41 GMT 2022","39917","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Thu Oct 20 04:04:17 GMT 2022","Thu Oct 20 04:05:01 GMT 2022","43940","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"broken","Thu Oct 20 04:05:41 GMT 2022","Thu Oct 20 04:05:58 GMT 2022","17523","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Thu Oct 20 04:05:58 GMT 2022","Thu Oct 20 04:06:35 GMT 2022","36302","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
