"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 25 08:13:39 GMT 2022","Tue Oct 25 08:13:51 GMT 2022","12024","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 25 08:13:51 GMT 2022","Tue Oct 25 08:14:10 GMT 2022","19844","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Tue Oct 25 08:13:06 GMT 2022","Tue Oct 25 08:13:38 GMT 2022","32778","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 08:12:29 GMT 2022","Tue Oct 25 08:13:05 GMT 2022","36130","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
