"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 08:50:07 GMT 2022","Thu Oct 20 08:50:20 GMT 2022","12902","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"failed","Thu Oct 20 08:49:54 GMT 2022","Thu Oct 20 08:50:07 GMT 2022","13195","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"broken","Thu Oct 20 08:49:43 GMT 2022","Thu Oct 20 08:49:54 GMT 2022","10563","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Thu Oct 20 08:49:12 GMT 2022","Thu Oct 20 08:49:43 GMT 2022","31183","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
