"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 16:47:36 GMT 2022","Wed Oct 19 16:47:54 GMT 2022","18466","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Wed Oct 19 16:46:28 GMT 2022","Wed Oct 19 16:47:10 GMT 2022","41586","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Wed Oct 19 16:47:10 GMT 2022","Wed Oct 19 16:47:36 GMT 2022","25760","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Wed Oct 19 16:47:54 GMT 2022","Wed Oct 19 16:48:15 GMT 2022","20895","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
