"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 09:11:17 GMT 2022","Tue Oct 25 09:12:05 GMT 2022","47635","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"failed","Tue Oct 25 09:10:43 GMT 2022","Tue Oct 25 09:11:17 GMT 2022","34090","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 25 09:09:42 GMT 2022","Tue Oct 25 09:10:43 GMT 2022","61256","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 09:08:38 GMT 2022","Tue Oct 25 09:09:42 GMT 2022","63726","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
