"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 12:34:53 GMT 2022","Wed Oct 19 12:36:00 GMT 2022","67447","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Wed Oct 19 12:36:00 GMT 2022","Wed Oct 19 12:36:46 GMT 2022","45977","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Wed Oct 19 12:36:46 GMT 2022","Wed Oct 19 12:37:19 GMT 2022","32350","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"failed","Wed Oct 19 12:37:19 GMT 2022","Wed Oct 19 12:38:04 GMT 2022","45870","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
