"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 17:22:16 GMT 2022","Wed Oct 19 17:22:57 GMT 2022","41587","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Wed Oct 19 17:20:33 GMT 2022","Wed Oct 19 17:21:27 GMT 2022","53538","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Wed Oct 19 17:22:57 GMT 2022","Wed Oct 19 17:23:48 GMT 2022","50920","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Wed Oct 19 17:21:27 GMT 2022","Wed Oct 19 17:22:16 GMT 2022","48719","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
