"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 08:33:47 GMT 2022","Thu Oct 20 08:34:26 GMT 2022","38569","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"broken","Thu Oct 20 08:34:26 GMT 2022","Thu Oct 20 08:34:38 GMT 2022","11913","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"broken","Thu Oct 20 08:34:38 GMT 2022","Thu Oct 20 08:34:50 GMT 2022","12474","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"broken","Thu Oct 20 08:34:50 GMT 2022","Thu Oct 20 08:35:03 GMT 2022","12347","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
