"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 19 13:48:39 GMT 2022","Wed Oct 19 13:48:39 GMT 2022","27","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"skipped","Wed Oct 19 13:48:39 GMT 2022","Wed Oct 19 13:48:39 GMT 2022","48","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"skipped","Wed Oct 19 13:48:38 GMT 2022","Wed Oct 19 13:48:39 GMT 2022","602","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"skipped","Wed Oct 19 13:48:39 GMT 2022","Wed Oct 19 13:48:39 GMT 2022","44","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
