"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 09:09:51 GMT 2022","Tue Oct 18 09:10:39 GMT 2022","48064","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 18 09:09:02 GMT 2022","Tue Oct 18 09:09:51 GMT 2022","48946","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 18 09:10:39 GMT 2022","Tue Oct 18 09:11:10 GMT 2022","31104","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"failed","Tue Oct 18 09:11:10 GMT 2022","Tue Oct 18 09:11:55 GMT 2022","45280","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
