"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 19 17:13:42 GMT 2022","Wed Oct 19 17:13:54 GMT 2022","11900","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Wed Oct 19 17:12:31 GMT 2022","Wed Oct 19 17:13:08 GMT 2022","37049","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"failed","Wed Oct 19 17:13:31 GMT 2022","Wed Oct 19 17:13:42 GMT 2022","11093","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"failed","Wed Oct 19 17:13:08 GMT 2022","Wed Oct 19 17:13:31 GMT 2022","23114","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
