"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 14:15:39 GMT 2022","Wed Oct 19 14:17:38 GMT 2022","119515","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Wed Oct 19 14:19:53 GMT 2022","Wed Oct 19 14:21:13 GMT 2022","79210","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"failed","Wed Oct 19 14:19:13 GMT 2022","Wed Oct 19 14:19:53 GMT 2022","40507","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Wed Oct 19 14:17:39 GMT 2022","Wed Oct 19 14:19:13 GMT 2022","94110","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
