"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 20 09:01:47 GMT 2022","Thu Oct 20 09:02:15 GMT 2022","27956","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"broken","Thu Oct 20 09:02:30 GMT 2022","Thu Oct 20 09:02:41 GMT 2022","11016","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"broken","Thu Oct 20 09:02:15 GMT 2022","Thu Oct 20 09:02:30 GMT 2022","14663","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Thu Oct 20 09:02:41 GMT 2022","Thu Oct 20 09:03:00 GMT 2022","18616","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
