"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 06:57:55 GMT 2022","Tue Oct 18 06:58:29 GMT 2022","34317","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 18 06:56:18 GMT 2022","Tue Oct 18 06:57:08 GMT 2022","49520","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 18 06:57:08 GMT 2022","Tue Oct 18 06:57:55 GMT 2022","47182","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 18 06:58:29 GMT 2022","Tue Oct 18 06:59:17 GMT 2022","47706","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
