"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 18:15:49 GMT 2022","Wed Oct 19 18:16:38 GMT 2022","48725","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Wed Oct 19 18:13:33 GMT 2022","Wed Oct 19 18:15:10 GMT 2022","97340","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"failed","Wed Oct 19 18:15:10 GMT 2022","Wed Oct 19 18:15:49 GMT 2022","38937","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Wed Oct 19 18:12:24 GMT 2022","Wed Oct 19 18:13:33 GMT 2022","68777","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
