"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 17 07:23:54 GMT 2022","Mon Oct 17 07:24:39 GMT 2022","45120","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Mon Oct 17 07:25:45 GMT 2022","Mon Oct 17 07:26:20 GMT 2022","34985","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Mon Oct 17 07:25:17 GMT 2022","Mon Oct 17 07:25:45 GMT 2022","28210","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Mon Oct 17 07:24:39 GMT 2022","Mon Oct 17 07:25:17 GMT 2022","38308","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
