"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 13:54:33 GMT 2022","Tue Oct 25 13:54:46 GMT 2022","12602","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 25 13:54:01 GMT 2022","Tue Oct 25 13:54:33 GMT 2022","32102","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 13:53:24 GMT 2022","Tue Oct 25 13:54:01 GMT 2022","37073","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 25 13:54:46 GMT 2022","Tue Oct 25 13:55:03 GMT 2022","16999","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
