"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 14:06:27 GMT 2022","Tue Oct 25 14:07:12 GMT 2022","44352","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Tue Oct 25 14:05:39 GMT 2022","Tue Oct 25 14:06:27 GMT 2022","48447","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Tue Oct 25 14:07:12 GMT 2022","Tue Oct 25 14:07:43 GMT 2022","30858","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Tue Oct 25 14:07:43 GMT 2022","Tue Oct 25 14:08:21 GMT 2022","38029","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
