"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 03:35:19 GMT 2022","Thu Oct 20 03:36:04 GMT 2022","45220","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Thu Oct 20 03:34:29 GMT 2022","Thu Oct 20 03:35:19 GMT 2022","49471","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"broken","Thu Oct 20 03:36:04 GMT 2022","Thu Oct 20 03:36:25 GMT 2022","21231","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Thu Oct 20 03:36:25 GMT 2022","Thu Oct 20 03:36:56 GMT 2022","30435","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
