"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 20 09:40:50 GMT 2022","Thu Oct 20 09:41:17 GMT 2022","27307","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Thu Oct 20 09:42:06 GMT 2022","Thu Oct 20 09:42:32 GMT 2022","26553","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Thu Oct 20 09:41:18 GMT 2022","Thu Oct 20 09:41:53 GMT 2022","35043","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"broken","Thu Oct 20 09:41:53 GMT 2022","Thu Oct 20 09:42:06 GMT 2022","12856","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
