"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 19 13:17:22 GMT 2022","Wed Oct 19 13:18:00 GMT 2022","37576","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Wed Oct 19 13:16:39 GMT 2022","Wed Oct 19 13:17:22 GMT 2022","42763","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
"passed","Wed Oct 19 13:18:00 GMT 2022","Wed Oct 19 13:18:43 GMT 2022","43061","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Wed Oct 19 13:15:51 GMT 2022","Wed Oct 19 13:16:39 GMT 2022","48210","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
