"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 20 08:21:25 GMT 2022","Thu Oct 20 08:22:16 GMT 2022","51375","","Feature - Diario AS proof of concept for Prisa","","Scenario - Share news with Facebook","","Scenario - Share news with Facebook",""
"passed","Thu Oct 20 08:22:16 GMT 2022","Thu Oct 20 08:23:02 GMT 2022","45711","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to motor league news","","Scenario - Access to motor league news",""
"passed","Thu Oct 20 08:19:41 GMT 2022","Thu Oct 20 08:20:36 GMT 2022","55333","","Feature - Diario AS proof of concept for Prisa","","Scenario - Access to a football team news","","Scenario - Access to a football team news",""
"passed","Thu Oct 20 08:20:36 GMT 2022","Thu Oct 20 08:21:25 GMT 2022","48191","","Feature - Diario AS proof of concept for Prisa","","Scenario - Return to home from a football page","","Scenario - Return to home from a football page",""
